"UTC_Time","Account","Operation","Coin","Change","Remark"
"2024-11-21 11:35:02","Spot","Deposit","BRL","15.00000000",""
"2024-11-21 11:45:55","Spot","Buy Crypto With Fiat","BTC","0.00002600","Via CashBalance"
"2024-11-21 11:45:56","Spot","Buy Crypto With Fiat","BRL","-14.84000000","Via CashBalance"
"2024-11-22 13:29:19","Spot","Deposit","BRL","10.00000000",""
"2024-11-22 13:30:37","Spot","Binance Convert","BTC","0.00001758",""
"2024-11-22 13:30:38","Spot","Binance Convert","BRL","-10.16000000",""
"2024-11-24 10:02:56","Spot","Sell Crypto To Fiat","BRL","24.80000000","Via CashBalance"
"2024-11-24 10:02:57","Spot","Sell Crypto To Fiat","BTC","-0.00004358","Via CashBalance"
"2024-11-24 10:19:14","Spot","Fiat Withdraw","BRL","-24.80000000",""
